['2023-10-11 16:12:25.329971', 1]Test
['2023-10-11 16:12:25.329971', 1]Sit up
['2023-10-11 16:12:25.329971', 1]Sit up
['2023-10-11 16:12:25.329971', 1]Sit up
['2023-10-11 16:12:25.329971', 1]Sit up
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down
['2023-10-11 16:12:17.307340', 2]StandUp/Down  
['2023-10-11 16:12:17.307340', 2]StandUp/Down
['2023-10-11 16:12:17.307340', 2]StandUp/Down
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down 
['2023-10-11 16:12:17.307340', 2]StandUp/Down
['2023-10-11 16:12:17.307340', 2]Stand Up  
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
['2023-10-11 16:12:17.307340', 2]Stand Up
['2023-10-11 16:12:17.307340', 2]Sitted
